show_id,title,description,listed_in,rating,content,profile,release_year
s1,Dick Johnson Is Dead,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Documentaries,PG-13,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable. Documentaries",0,2020
s2,Blood & Water,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.","International TV Shows, TV Dramas, TV Mysteries",TV-MA,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth. International TV Shows, TV Dramas, TV Mysteries",2,2021
s3,Ganglands,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.","Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war. Crime TV Shows, International TV Shows, TV Action & Adventure",2,2021
s4,Jailbirds New Orleans,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.","Docuseries, Reality TV",TV-MA,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series. Docuseries, Reality TV",0,2021
s5,Kota Factory,"In a city of coaching centers known to train Indiaâs finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.","International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,"In a city of coaching centers known to train Indiaâs finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life. International TV Shows, Romantic TV Shows, TV Comedies",2,2021
s6,Midnight Mass,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.","TV Dramas, TV Horror, TV Mysteries",TV-MA,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe. TV Dramas, TV Horror, TV Mysteries",2,2021
s7,My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â and, hoof to heart, sheâs determined to prove it.",Children & Family Movies,PG,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â and, hoof to heart, sheâs determined to prove it. Children & Family Movies",0,2021
s8,Sankofa,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","Dramas, Independent Movies, International Movies",TV-MA,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past. Dramas, Independent Movies, International Movies",1,1993
s9,The Great British Baking Show,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.","British TV Shows, Reality TV",TV-14,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best. British TV Shows, Reality TV",2,2021
s10,The Starling,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â and a husband who's struggling to find a way forward.,"Comedies, Dramas",PG-13,"A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â and a husband who's struggling to find a way forward. Comedies, Dramas",1,2021
s11,"Vendetta: Truth, Lies and The Mafia","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?","Crime TV Shows, Docuseries, International TV Shows",TV-MA,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves? Crime TV Shows, Docuseries, International TV Shows",2,2021
s12,Bangkok Breaking,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.","Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy. Crime TV Shows, International TV Shows, TV Action & Adventure",2,2021
s13,Je Suis Karl,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.","Dramas, International Movies",TV-MA,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them. Dramas, International Movies",1,2021
s14,Confessions of an Invisible Girl,"When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Children & Family Movies, Comedies",TV-PG,"When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas. Children & Family Movies, Comedies",0,2021
s15,Crime Stories: India Detectives,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,"Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations. British TV Shows, Crime TV Shows, Docuseries",2,2021
s16,Dear White People,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.","TV Comedies, TV Dramas",TV-MA,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks. TV Comedies, TV Dramas",0,2021
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Documentaries, International Movies",TV-MA,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents. Documentaries, International Movies",0,2020
s18,Falsa identidad,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,"Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband. Crime TV Shows, Spanish-Language TV Shows, TV Dramas",2,2020
s19,Intrusion,"After a deadly home invasion at a coupleâs new dream house, the traumatized wife searches for answers â and learns the real danger is just beginning.",Thrillers,TV-14,"After a deadly home invasion at a coupleâs new dream house, the traumatized wife searches for answers â and learns the real danger is just beginning. Thrillers",1,2021
s20,Jaguar,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV-MA,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII. International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2,2021
s21,Monsters Inside: The 24 Faces of Billy Milligan,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.","Crime TV Shows, Docuseries, International TV Shows",TV-14,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America. Crime TV Shows, Docuseries, International TV Shows",2,2021
s22,Resurrection: Ertugrul,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.","International TV Shows, TV Action & Adventure, TV Dramas",TV-14,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land. International TV Shows, TV Action & Adventure, TV Dramas",2,2018
s23,Avvai Shanmughi,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.","Comedies, International Movies",TV-PG,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her. Comedies, International Movies",1,1996
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,"From arcade games to sled days and hiccup cures, Cory Carsonâs curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Children & Family Movies,TV-Y,"From arcade games to sled days and hiccup cures, Cory Carsonâs curious little sister Chrissy speeds off on her own for fun and adventure all over town! Children & Family Movies",0,2021
s25,Jeans,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.","Comedies, International Movies, Romantic Movies",TV-14,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing. Comedies, International Movies, Romantic Movies",1,1998
s26,Love on the Spectrum,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.","Docuseries, International TV Shows, Reality TV",TV-14,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated. Docuseries, International TV Shows, Reality TV",2,2021
s27,Minsara Kanavu,A tangled love triangle ensues when a man falls for a woman studying to become a nun â and she falls for the friend he enlists to help him pursue her.,"Comedies, International Movies, Music & Musicals",TV-PG,"A tangled love triangle ensues when a man falls for a woman studying to become a nun â and she falls for the friend he enlists to help him pursue her. Comedies, International Movies, Music & Musicals",4,1997
s28,Grown Ups,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Comedies,PG-13,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid. Comedies",0,2010
s29,Dark Skies,"A familyâs idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.","Horror Movies, Sci-Fi & Fantasy",PG-13,"A familyâs idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat. Horror Movies, Sci-Fi & Fantasy",1,2013
s30,Paranoia,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Thrillers,PG-13,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor. Thrillers",1,2013
